"","BowlerName","bowling_team","Innings.by.Bowler","Total.Wickets","No.of.times.BowlerName.Took.Atleast.1.Wicket","No.of.times.BowlerName.Took.Atleast.2.Wicket","Top.Wicket.Taker.for.Team","Percentage.of.No.of.times.BowlerName.Took.Atleast.1.Wicket","Percentage.of.No.of.times.BowlerName.Took.Atleast.2.Wicket","Percentage.of.Top.Wicket.Taker.for.Team"
"1","Noor Ahmad","Melbourne Renegades",6,2,2,0,1,"33.33%","0.0%","16.67%"
"2","Harry Conway","Adelaide Strikers",18,16,10,4,3,"55.56%","22.22%","16.67%"
"3","Rashid Khan","Adelaide Strikers",28,42,23,11,10,"82.14%","39.29%","35.71%"
"4","Imad Wasim","Melbourne Stars",17,14,11,3,3,"64.71%","17.65%","17.65%"
"5","Peter Siddle","Melbourne Renegades",44,58,29,17,18,"65.91%","38.64%","40.91%"
"6","Peter Hatzoglou","Hobart Hurricanes",39,40,26,12,8,"66.67%","30.77%","20.51%"
"7","Mohammad Nabi","Melbourne Renegades",14,7,5,2,2,"35.71%","14.29%","14.29%"
"8","Jack Prestwidge","Melbourne Renegades",14,8,6,2,1,"42.86%","14.29%","7.14%"
"9","Matt Renshaw","Brisbane Heat",11,3,3,0,0,"27.27%","0.0%","0.0%"
"10","Wes Agar","Adelaide Strikers",39,50,24,17,19,"61.54%","43.59%","48.72%"
"11","Kane Richardson","Melbourne Renegades",39,52,31,16,17,"79.49%","41.03%","43.59%"
"12","Danny Briggs","Adelaide Strikers",14,11,7,3,4,"50.0%","21.43%","28.57%"
"13","Ben Dwarshuis","Sydney Sixers",49,73,35,22,20,"71.43%","44.9%","40.82%"
"14","Carlos Brathwaite","Sydney Sixers",16,16,9,5,4,"56.25%","31.25%","25.0%"
"15","Riley Meredith","Hobart Hurricanes",47,60,35,19,15,"74.47%","40.43%","31.91%"
"16","Sean Abbott","Sydney Sixers",41,66,32,21,15,"78.05%","51.22%","36.59%"
"17","Dan Christian","Sydney Sixers",34,26,16,8,8,"47.06%","23.53%","23.53%"
"18","Ben Manenti","Adelaide Strikers",17,9,7,2,4,"41.18%","11.76%","23.53%"
"19","Jake Ball","Sydney Sixers",7,9,5,3,3,"71.43%","42.86%","42.86%"
"20","Scott Boland","Melbourne Stars",19,22,13,6,5,"68.42%","31.58%","26.32%"
"21","Nathan Ellis","Hobart Hurricanes",46,61,34,18,16,"73.91%","39.13%","34.78%"
"22","Nick Winter","Hobart Hurricanes",3,0,0,0,0,"0.0%","0.0%","0.0%"
"23","D'Arcy Short","Adelaide Strikers",32,13,9,2,3,"28.12%","6.25%","9.38%"
"24","Sandeep Lamichhane","Hobart Hurricanes",22,22,13,8,3,"59.09%","36.36%","13.64%"
"25","Hilton Cartwright","Melbourne Stars",5,2,1,1,0,"20.0%","20.0%","0.0%"
"26","Dilbar Hussain","Melbourne Stars",2,3,2,1,0,"100.0%","50.0%","0.0%"
"27","Tanveer Sangha","Sydney Thunder",35,46,26,15,16,"74.29%","42.86%","45.71%"
"28","Liam Hatcher","Sydney Thunder",23,27,14,9,8,"60.87%","39.13%","34.78%"
"29","Billy Stanlake","Hobart Hurricanes",13,13,8,4,3,"61.54%","30.77%","23.08%"
"30","Glenn Maxwell","Melbourne Stars",29,18,13,4,4,"44.83%","13.79%","13.79%"
"31","Ben Cutting","Sydney Thunder",30,8,7,1,1,"23.33%","3.33%","3.33%"
"32","Nathan McAndrew","Sydney Thunder",47,46,30,11,14,"63.83%","23.4%","29.79%"
"33","Chris Green","Sydney Thunder",50,38,26,10,9,"52.0%","20.0%","18.0%"
"34","Clint Hinchliffe","Melbourne Stars",13,10,9,1,1,"69.23%","7.69%","7.69%"
"35","Daniel Sams","Sydney Thunder",46,61,34,15,17,"73.91%","32.61%","36.96%"
"36","Adam Zampa","Melbourne Renegades",44,51,30,15,14,"68.18%","34.09%","31.82%"
"37","Jonathan Cook","Sydney Thunder",3,3,2,1,1,"66.67%","33.33%","33.33%"
"38","Fawad Ahmed","Melbourne Renegades",33,30,20,6,9,"60.61%","18.18%","27.27%"
"39","Jackson Bird","Sydney Sixers",27,29,20,8,5,"74.07%","29.63%","18.52%"
"40","Jason Behrendorff","Perth Scorchers",52,69,43,19,14,"82.69%","36.54%","26.92%"
"41","Stephen O'Keefe","Sydney Sixers",42,51,29,12,12,"69.05%","28.57%","28.57%"
"42","Lloyd Pope","Adelaide Strikers",16,20,10,6,5,"62.5%","37.5%","31.25%"
"43","Andrew Tye","Perth Scorchers",57,84,43,29,17,"75.44%","50.88%","29.82%"
"44","Jhye Richardson","Perth Scorchers",33,54,26,16,13,"78.79%","48.48%","39.39%"
"45","Mitchell Marsh","Perth Scorchers",10,9,7,2,0,"70.0%","20.0%","0.0%"
"46","Aaron Hardie","Perth Scorchers",31,24,14,8,6,"45.16%","25.81%","19.35%"
"47","Keemo Paul","Hobart Hurricanes",2,1,1,0,0,"50.0%","0.0%","0.0%"
"48","James Faulkner","Hobart Hurricanes",5,8,4,3,3,"80.0%","60.0%","60.0%"
"49","Josh Lalor","Melbourne Renegades",12,11,8,2,4,"66.67%","16.67%","33.33%"
"50","Will Sutherland","Melbourne Renegades",37,24,18,4,4,"48.65%","10.81%","10.81%"
